,emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no,dept_name
0,10701,1961-09-30,Hyuncheol,Zolotykh,M,1986-10-27,d007,Sales
1,10702,1952-11-25,Bader,Szemeredi,M,1985-07-23,d007,Sales
2,10703,1958-06-13,Giri,Baumann,F,1996-05-12,d007,Sales
3,10704,1960-04-08,Yolla,Kropatsch,M,1988-07-08,d007,Sales
4,10705,1963-06-17,Hironobu,Wynblatt,M,1990-07-18,d007,Sales
5,10706,1959-10-11,Gonzalo,Eldridge,M,1989-12-17,d007,Sales
6,10707,1957-06-04,Moty,Trystram,M,1990-12-24,d007,Sales
7,10708,1959-07-02,Aral,Erman,M,1996-05-18,d007,Sales
8,10709,1961-01-06,Jiafu,Mateescu,F,1986-02-02,d007,Sales
9,10710,1962-12-25,Sorina,Kermarrec,M,1992-01-10,d007,Sales
10,10711,1963-06-20,Arvind,DuBourdieux,F,1991-06-21,d007,Sales
11,10712,1952-04-12,Uma,Koprowski,F,1994-08-18,d007,Sales
12,10713,1959-04-14,Jagoda,Naumovich,M,1986-04-26,d007,Sales
13,10714,1960-09-28,Aran,Sadowsky,M,1997-03-11,d007,Sales
14,10715,1959-11-21,Goa,Poehlman,M,1995-09-25,d007,Sales
15,10716,1963-10-08,Aiman,Constantine,M,1985-08-20,d007,Sales
16,10717,1956-01-27,Serap,Tasistro,M,1987-06-27,d007,Sales
17,10718,1955-12-19,Adib,Rullman,M,1988-07-21,d007,Sales
18,10719,1959-09-26,Guenter,Karunanithi,F,1995-09-05,d007,Sales
19,10720,1956-06-17,Odinaldo,Kruskal,M,1985-08-01,d007,Sales
20,10721,1964-07-12,Bernd,Redmiles,F,1995-03-17,d007,Sales
21,10722,1960-10-03,Dung,Gornas,M,1989-01-17,d007,Sales
22,10723,1964-01-14,Eckart,Harnett,F,1993-05-26,d007,Sales
23,10724,1957-10-06,Aluzio,Narlikar,M,1991-11-04,d007,Sales
24,10725,1958-10-22,Garnet,Isard,M,1990-09-08,d007,Sales
25,10726,1954-01-11,Zita,Minakawa,F,1985-09-01,d007,Sales
26,10727,1959-06-16,Saeed,Kitai,F,1991-01-08,d007,Sales
27,10728,1958-11-17,Ugo,Maliniak,F,1989-12-09,d007,Sales
28,10729,1961-05-24,Percy,Lorho,F,1986-04-20,d007,Sales
29,10730,1962-07-22,Mohit,Janetzko,M,1988-11-24,d007,Sales
30,10731,1952-11-17,Fumitaka,Peak,M,1987-02-20,d007,Sales
31,10732,1962-04-22,Morris,Andreotta,F,1991-03-10,d007,Sales
32,10733,1962-04-06,Sangeeta,Rodham,F,1996-02-20,d007,Sales
33,10734,1954-07-06,Sachar,Erdi,M,1985-04-03,d007,Sales
34,10735,1964-09-12,Morrie,Gewali,M,1985-10-29,d007,Sales
35,10736,1962-07-09,Gurbir,Hellwagner,F,1991-09-26,d007,Sales
36,10737,1960-10-10,Vincent,Schwartzbauer,M,1990-10-15,d007,Sales
37,10738,1963-10-08,Rosita,Oppitz,M,1988-01-17,d007,Sales
38,10739,1961-02-11,Gor,Iacovou,F,1985-03-12,d007,Sales
39,10740,1956-04-19,Suzette,Sadowski,M,1995-08-15,d007,Sales
40,10741,1954-01-02,Sven,Huttel,F,1989-01-06,d007,Sales
41,10742,1955-03-13,Shim,Wiegley,M,1991-01-03,d007,Sales
42,10743,1963-12-26,Kiyomitsu,Peltason,M,1985-06-10,d007,Sales
43,10744,1957-02-17,Yaghout,Syang,M,1985-12-29,d007,Sales
44,10745,1953-10-23,Poorav,Ranze,F,1987-05-26,d007,Sales
45,10746,1958-12-29,Kolar,Usery,F,1990-08-31,d007,Sales
46,10747,1955-02-02,Falguni,Khalid,M,1990-10-08,d007,Sales
47,10748,1964-04-12,Yuchang,Francisci,F,1990-08-14,d007,Sales
48,10749,1955-08-21,King,Brendel,M,1985-09-26,d007,Sales
49,10750,1953-06-14,Roddy,Demeyer,F,1991-08-04,d007,Sales
50,10751,1952-12-02,Jordanka,Ushiama,M,1987-04-15,d007,Sales
51,10752,1964-07-18,Byong,Conde,M,1993-05-28,d007,Sales
52,10753,1958-09-30,Pradeep,Harbusch,F,1985-05-17,d007,Sales
53,10754,1956-09-08,Chenyi,Feinberg,M,1988-01-11,d007,Sales
54,10755,1962-06-10,Odysseas,Ressouche,M,1988-06-16,d007,Sales
55,10756,1958-06-24,Paddy,Brizzi,M,1995-11-21,d007,Sales
56,10757,1961-01-11,Florina,Simkin,M,1986-01-06,d007,Sales
57,10758,1962-11-26,Fumiyo,Boyle,F,1988-02-06,d007,Sales
58,10759,1956-04-12,JiYoung,Chenney,M,1991-12-04,d007,Sales
59,10760,1963-05-27,Phillip,Dratva,M,1994-06-15,d007,Sales
60,10761,1959-04-10,Sumali,Liedekerke,M,1992-05-30,d007,Sales
61,10762,1965-01-19,Lech,Himler,M,1992-01-21,d007,Sales
62,10763,1962-04-15,Giap,Bolsens,M,1987-02-23,d007,Sales
63,10764,1953-01-12,Yunming,Beetstra,F,1989-11-27,d007,Sales
64,10765,1961-02-24,Goetz,Norsworthy,M,1994-05-07,d007,Sales
65,10766,1964-06-10,Nathalie,Standera,M,1996-08-05,d007,Sales
66,10767,1954-02-28,Monique,Doering,F,1987-06-17,d007,Sales
67,10768,1955-06-24,Ishfaq,Candan,M,1985-07-04,d007,Sales
68,10769,1962-11-02,Vishv,Bouloucos,M,1987-08-16,d007,Sales
69,10770,1956-06-18,Bedir,Perry,F,1987-12-25,d007,Sales
70,10771,1960-05-10,Guiseppe,Kleiser,F,1989-11-08,d007,Sales
71,10772,1956-01-21,Munehiro,Dayana,M,1987-06-29,d007,Sales
72,10773,1960-07-11,Avishai,Bahr,F,1985-12-01,d007,Sales
73,10774,1958-10-03,Jacqueline,Masand,M,1990-01-26,d007,Sales
74,10775,1956-03-12,Xiaoheng,Sluis,M,1988-12-09,d007,Sales
75,10776,1958-01-27,Mahmut,Skafidas,F,1986-03-16,d007,Sales
76,10777,1955-08-11,Mizuhito,Kemmerer,F,1988-07-05,d007,Sales
77,10778,1953-03-13,Selwyn,Merey,M,1986-07-04,d007,Sales
78,10779,1961-07-09,Mori,Yavatkar,F,1988-01-11,d007,Sales
79,10780,1955-09-12,Goncalo,Staudhammer,M,1989-11-06,d007,Sales
80,10781,1958-09-19,Patricio,Leuchs,M,1991-02-04,d007,Sales
81,10782,1952-09-18,Kish,Perna,F,1991-10-21,d007,Sales
82,10783,1963-11-13,Moty,Kenevan,M,1994-05-15,d007,Sales
83,10784,1957-01-27,Weijing,Bottner,F,1987-05-12,d007,Sales
84,10785,1963-02-09,Keiichiro,Marzano,M,1994-11-11,d007,Sales
85,10786,1964-05-19,Patricia,dAstous,M,1989-03-14,d007,Sales
86,10787,1958-07-10,Shiv,Neimat,F,1991-04-16,d007,Sales
87,10788,1963-06-28,Frazer,Ullian,M,1993-12-13,d007,Sales
88,10789,1964-05-19,Aruna,Journel,F,1987-02-02,d007,Sales
89,10790,1962-04-01,Yurij,Schonegge,M,1990-07-03,d007,Sales
90,10791,1954-05-27,Tadahiko,Sgarro,M,1988-07-30,d007,Sales
91,10792,1962-09-04,Chinya,Birdsall,M,1985-08-10,d007,Sales
92,10793,1960-08-27,Oksana,Roisin,F,1987-10-02,d007,Sales
93,10794,1962-06-26,Teunis,Berztiss,M,1992-03-29,d007,Sales
94,10795,1954-12-14,Supot,Naudin,M,1985-05-21,d007,Sales
95,10796,1959-06-30,Khoa,Rousseau,M,1990-11-08,d007,Sales
96,10797,1956-10-04,Goetz,Hiyoshi,F,1988-08-21,d007,Sales
97,10798,1961-07-18,Elliott,Bednarek,M,1992-02-09,d007,Sales
